epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0722,2.60237,4.59567,2.49416,0.0175,0.54786,0.02429,0.00513,2.64358,3.45957,2.50351,0.00030009,0.00030009,0.00030009
2,23.7972,2.16427,4.00857,2.09324,0.00706,0.69754,0.07604,0.01663,2.63585,3.37365,2.42793,0.000610414,0.000610414,0.000610414
3,31.5368,2.14498,3.9269,2.08236,0.00572,0.58455,0.03869,0.0061,3.20332,3.50778,3.15955,0.000916589,0.000916589,0.000916589
4,39.0948,2.07906,3.84519,2.00412,0.00372,0.38922,0.01779,0.00515,3.28495,3.86534,2.61555,0.00121861,0.00121861,0.00121861
5,46.6788,2.16533,3.72189,2.07681,0.03653,0.04915,0.01692,0.00289,3.38618,4.35009,3.25841,0.00139127,0.00139127,0.00139127
6,54.1759,2.0291,3.56393,1.97531,0.15376,0.12701,0.05704,0.01213,2.70761,4.55703,2.61191,0.00138184,0.00138184,0.00138184
7,61.8245,2.05762,3.54064,2.06083,0.01756,0.09086,0.00905,0.00298,3.26596,5.28876,2.98365,0.00137241,0.00137241,0.00137241
8,69.4154,1.99584,3.47228,1.96259,0.0184,0.0839,0.01236,0.00252,3.61387,7.54215,2.91891,0.00136298,0.00136298,0.00136298
9,77.0501,1.88754,3.3533,1.90649,0.38192,0.14556,0.03907,0.00982,2.68103,6.61494,2.41507,0.00135355,0.00135355,0.00135355
10,84.8148,1.88885,3.32857,1.91493,0.4066,0.12857,0.06231,0.01668,2.52877,6.98286,2.59681,0.00134412,0.00134412,0.00134412
11,92.3884,1.82166,3.20902,1.92546,0.1595,0.34655,0.09432,0.02344,2.41024,6.53647,2.42954,0.00133469,0.00133469,0.00133469
12,99.9167,1.82529,3.17488,1.86186,0.13596,0.34385,0.11289,0.03167,2.33464,6.05843,2.33589,0.00132525,0.00132525,0.00132525
13,107.628,1.80096,3.11482,1.85404,0.26837,0.25947,0.18438,0.05273,2.29088,4.15375,2.22563,0.00131582,0.00131582,0.00131582
14,115.214,1.73044,3.00692,1.86646,0.35458,0.28399,0.18557,0.05962,2.16693,3.61371,2.12952,0.00130639,0.00130639,0.00130639
15,122.739,1.7522,3.00023,1.8757,0.22272,0.30786,0.21571,0.07139,2.26451,3.75862,2.13952,0.00129696,0.00129696,0.00129696
16,130.298,1.72533,2.95299,1.85177,0.16686,0.23838,0.09328,0.02897,2.54987,4.21791,2.22342,0.00128753,0.00128753,0.00128753
17,137.749,1.69067,2.91143,1.831,0.07601,0.20277,0.03964,0.01233,2.56675,4.14139,2.26483,0.0012781,0.0012781,0.0012781
18,145.318,1.69443,2.80397,1.7782,0.05659,0.23443,0.04903,0.01422,2.43346,3.91151,2.14648,0.00126867,0.00126867,0.00126867
19,152.794,1.58388,2.68182,1.71907,0.11923,0.36811,0.11149,0.03607,2.15755,3.87682,2.07911,0.00125923,0.00125923,0.00125923
20,160.342,1.63924,2.70691,1.73605,0.06187,0.21273,0.05031,0.0141,2.31145,3.89225,2.23548,0.0012498,0.0012498,0.0012498
21,167.957,1.64671,2.79583,1.75691,0.20447,0.28673,0.17308,0.05933,2.09005,3.20789,2.21678,0.00124037,0.00124037,0.00124037
22,175.485,1.61838,2.73606,1.74434,0.17843,0.43239,0.19407,0.06892,2.03402,3.24227,2.16004,0.00123094,0.00123094,0.00123094
23,183.007,1.57091,2.68929,1.71677,0.23249,0.37746,0.17842,0.05731,2.17241,3.01512,2.1157,0.00122151,0.00122151,0.00122151
24,190.659,1.61818,2.52813,1.67748,0.13227,0.36033,0.13035,0.04632,2.13633,3.3607,2.13019,0.00121208,0.00121208,0.00121208
25,198.142,1.59595,2.52257,1.70369,0.14585,0.28993,0.13087,0.04515,2.02204,3.20907,2.04875,0.00120265,0.00120265,0.00120265
26,205.788,1.50716,2.43752,1.63619,0.19789,0.31778,0.1538,0.0533,2.09428,2.7844,2.03442,0.00119322,0.00119322,0.00119322
27,213.427,1.50426,2.40963,1.60485,0.29964,0.28946,0.21568,0.07456,2.0391,2.7355,2.00384,0.00118378,0.00118378,0.00118378
28,220.86,1.51,2.35516,1.67562,0.25408,0.29496,0.21819,0.08201,1.96578,2.65229,1.98978,0.00117435,0.00117435,0.00117435
29,228.284,1.52723,2.30968,1.61992,0.24081,0.30001,0.19839,0.07216,2.01715,2.67713,1.99095,0.00116492,0.00116492,0.00116492
30,235.713,1.52229,2.25646,1.63782,0.25098,0.37638,0.21232,0.08265,2.06688,2.68137,2.026,0.00115549,0.00115549,0.00115549
31,243.095,1.52933,2.2816,1.64319,0.23463,0.40906,0.24332,0.09819,1.98339,2.53512,1.98236,0.00114606,0.00114606,0.00114606
32,250.609,1.44611,2.23354,1.6126,0.19063,0.33289,0.18633,0.07604,1.94762,2.9191,2.01875,0.00113663,0.00113663,0.00113663
33,258.182,1.53226,2.21476,1.66304,0.22426,0.3384,0.15589,0.05987,2.01541,3.09243,2.05516,0.0011272,0.0011272,0.0011272
34,265.66,1.50885,2.29037,1.62949,0.1968,0.26235,0.15258,0.05656,2.17804,2.81919,2.16129,0.00111776,0.00111776,0.00111776
35,273.142,1.46789,2.2226,1.61037,0.29367,0.3106,0.24198,0.10034,1.99843,2.57534,2.01894,0.00110833,0.00110833,0.00110833
36,280.743,1.46528,2.26739,1.59273,0.3724,0.36711,0.28282,0.12837,1.83831,2.51123,1.88147,0.0010989,0.0010989,0.0010989
37,288.292,1.44792,2.19402,1.58194,0.17343,0.28754,0.11897,0.04663,2.01388,2.95927,1.90869,0.00108947,0.00108947,0.00108947
38,295.719,1.38548,2.09369,1.56077,0.17494,0.31997,0.13666,0.0565,2.03512,3.40065,1.99621,0.00108004,0.00108004,0.00108004
39,303.295,1.42696,2.08833,1.58276,0.18412,0.34033,0.13505,0.04667,2.08555,3.69596,2.08177,0.00107061,0.00107061,0.00107061
40,311.003,1.38004,2.01962,1.51205,0.17017,0.3787,0.17916,0.07086,2.06278,2.87105,1.96718,0.00106118,0.00106118,0.00106118
41,318.518,1.464,2.06401,1.54229,0.23147,0.34835,0.18473,0.06775,2.09883,2.67885,2.05501,0.00105174,0.00105174,0.00105174
42,326.1,1.41401,1.94893,1.53434,0.22981,0.36011,0.20641,0.08221,1.99707,2.57152,1.98408,0.00104231,0.00104231,0.00104231
43,333.663,1.35455,2.05118,1.51227,0.25044,0.29812,0.20394,0.0847,1.97478,2.58041,1.91733,0.00103288,0.00103288,0.00103288
44,341.268,1.34345,1.92012,1.50721,0.21428,0.28961,0.17203,0.06619,2.06304,2.60388,1.96119,0.00102345,0.00102345,0.00102345
45,348.734,1.37361,1.91448,1.50527,0.31558,0.40816,0.29754,0.13041,1.89268,2.37413,1.89109,0.00101402,0.00101402,0.00101402
